user,activity,timestamp,x-axis,y-axis,z-axis
24,Walking,14286671549000,8.77,8.5,1.31
24,Walking,14286712168000,11.33,14.52,-1.8
24,Walking,14286751505000,7.89,13.29,-4.44
24,Walking,14286791483000,3.79,9.47,-3.38
24,Walking,14286871500000,4.33,6.51,0.04
24,Walking,14286912088000,1.61,6.51,-2.22
24,Walking,14286951547000,0.3,7.31,-0.46
24,Walking,14286991464000,2.96,5.41,0.34
24,Walking,14287071451000,8.81,1.54,-0.8
24,Walking,14287111643000,9.47,1.73,-1.31
24,Walking,14287151529000,10.19,1.84,-0.72
24,Walking,14287191446000,15.83,1.95,-0.5
24,Walking,14287271555000,7.89,8.66,1.08
24,Walking,14287312082000,13.14,13.53,-0.27
24,Walking,14287351541000,5.52,5.86,-1.73
24,Walking,14287391519000,-0.11,2.96,-0.53
24,Walking,14287471567000,6.05,7.5,-1.92
24,Walking,14287512125000,5.9,5.13,-1.46
24,Walking,14287551523000,6.32,5.6,-1.23
24,Jogging,14323451517000,4.59,0.11,-2.37
24,Jogging,14323491586000,14.67,19.57,-1.31
24,Jogging,14323571634000,9.96,19.57,-5.33
24,Jogging,14323611643000,-2.41,16.47,-1.23
24,Jogging,14323651590000,-7.4,6.93,8.16
24,Jogging,14323691385000,-6.89,-6.51,2.96
24,Jogging,14323771555000,-9.89,-8.35,6.02
24,Jogging,14323811624000,1.53,3.49,-8.12
24,Jogging,14323851511000,10.0,7.35,-6.85
24,Jogging,14323891580000,8.88,15.05,2.64
24,Jogging,14323971536000,3.34,19.08,-1.14
24,Jogging,14324011575000,3.21,19.46,-0.27
24,Jogging,14324051645000,2.03,19.53,-9.34
24,Jogging,14324131693000,7.86,4.44,11.45
24,Jogging,14324171640000,8.31,2.18,-0.99
24,Jogging,14324211466000,8.47,-4.67,-0.5
24,Jogging,14324251688000,6.89,-9.34,2.68
24,Jogging,14324331644000,6.43,17.69,-0.8
24,Jogging,14324371622000,14.14,19.57,0.3
24,Jogging,14324411508000,4.02,19.57,-2.37
24,Jogging,14324451517000,-3.72,14.9,0.0
24,Jogging,14324491678000,-12.68,-3.11,5.6
24,Jogging,14324571634000,-11.6,-10.04,1.69
24,Jogging,14324611521000,-0.76,-2.37,-0.42
24,Jogging,14324651621000,8.39,4.14,-10.34
24,Jogging,14324731516000,-4.63,19.38,7.35
24,Jogging,14324771646000,2.53,19.53,-1.84
24,Jogging,14324811624000,5.2,19.57,0.69
24,Jogging,14324851511000,7.35,18.62,-7.5
24,Jogging,14324931650000,2.98,0.84,11.18
24,Jogging,14324971506000,5.41,2.76,2.03
24,Jogging,14325011575000,5.6,-5.75,-1.76
24,Jogging,14325051523000,11.54,-7.46,-2.37
24,Jogging,14325091684000,7.4,4.94,-2.56
24,Jogging,14325171518000,9.43,19.57,0.46
24,Jogging,14325211557000,-1.84,18.7,1.08
24,Jogging,14325251688000,-10.31,10.5,11.8
24,Jogging,14325331613000,-8.77,-6.4,2.11
24,Jogging,14325371652000,-10.69,-15.89,5.2
24,Jogging,14325411508000,-0.5,-3.83,-7.59
24,Jogging,14325451669000,5.79,5.56,-5.41
24,Jogging,14325531595000,-5.71,19.57,6.13
24,Jogging,14325571512000,0.46,17.67,-1.31
24,Jogging,14325611643000,3.34,19.46,0.38
24,Jogging,14325651499000,7.78,19.04,-12.34
24,Jogging,14325731668000,6.09,1.08,11.95
24,Jogging,14325771555000,4.59,1.76,-0.84
24,Jogging,14325811533000,10.19,-6.78,-7.89
24,Jogging,14325851541000,9.53,19.57,-1.69
24,Jogging,14326013651000,-8.01,15.55,-2.15
24,Jogging,14326013651000,-8.01,15.55,-2.15
24,Jogging,14326013651000,-8.01,15.55,-2.15
24,Jogging,14326051645000,-9.3,3.99,3.06
24,Jogging,14326131632000,-15.17,-9.0,9.66
24,Jogging,14326171579000,-4.75,-3.34,-2.49
24,Jogging,14326211557000,4.82,6.24,-12.6
24,Jogging,14326251596000,8.39,10.84,-1.23
24,Jogging,14326331583000,-2.34,19.57,-6.4
24,Jogging,14326371622000,6.66,19.57,0.76
24,Jogging,14326420542000,16.78,19.57,-1.27
24,Jogging,14326461344000,3.26,2.07,3.76
24,Jogging,14326501413000,4.59,-4.4,7.74
24,Jogging,14326541574000,7.7,5.01,-2.11
24,Jogging,14326621622000,2.87,-4.02,2.41
24,Jogging,14326661630000,-2.26,15.89,-2.15
24,Jogging,14326706980000,5.18,19.57,-2.56
24,Jogging,14326781626000,-7.12,16.47,-4.33
24,Jogging,14326821634000,-8.89,3.79,-0.04
24,Jogging,14326861643000,-15.66,-4.9,5.6
24,Jogging,14326901499000,-17.43,-6.78,15.47
24,Jogging,14326981668000,2.45,1.31,-7.01
24,Jogging,14327021646000,7.59,9.43,-5.33
24,Jogging,14327061533000,6.55,14.41,-1.5
24,Jogging,14327101541000,-6.74,19.57,1.8
24,Jogging,14327181497000,2.91,19.57,-5.75
24,Jogging,14327221750000,3.21,13.99,-7.97
24,Jogging,14327261667000,4.94,4.21,4.67
24,Jogging,14327303018000,7.63,6.4,2.49
24,Jogging,14327341715000,15.24,-7.25,7.93
24,Jogging,14327421518000,-2.22,7.7,-0.93
24,Jogging,14327461618000,3.21,18.92,-1.95
24,Jogging,14327501627000,9.58,19.57,-6.59
24,Jogging,14327581644000,-6.59,10.34,0.76
24,Jogging,14327621622000,-13.38,2.3,8.5
24,Jogging,14327661478000,-17.54,-6.21,2.6
24,Jogging,14327701517000,-13.8,-7.74,12.07
24,Jogging,14327781656000,5.9,3.06,-5.28
24,Jogging,14327821634000,7.16,13.57,-2.45
24,Jogging,14327871652000,-7.25,19.53,2.83
24,Jogging,14327911630000,-2.72,18.73,-1.84
24,Jogging,14327951639000,2.91,19.57,-1.84
24,Jogging,14328031595000,8.12,9.23,4.4
24,Jogging,14328073953000,12.95,5.13,1.14
24,Jogging,14328111704000,17.92,-5.01,3.49
24,Jogging,14328151651000,8.5,-2.45,4.44
24,Jogging,14328191629000,-2.15,19.57,-2.91
24,Jogging,14328271524000,-0.84,19.57,-8.16
24,Jogging,14328312479000,-7.78,17.62,-5.33
24,Jogging,14328351633000,-9.58,4.56,6.28
24,Jogging,14328431589000,-14.98,-10.38,4.44
24,Jogging,14328471536000,-9.08,-7.78,5.6
24,Jogging,14328511545000,2.26,3.02,-7.82
24,Jogging,14328551645000,6.17,5.01,-4.6
24,Jogging,14328631510000,-1.69,19.57,0.27
24,Jogging,14328671640000,-4.99,18.05,-1.31
24,Jogging,14328711710000,1.76,18.7,-4.14
24,Jogging,14328751535000,2.11,17.54,-3.76
24,Jogging,14328791727000,7.5,5.71,-0.69
24,Jogging,14328871561000,14.86,-4.14,-0.34
24,Jogging,14328911661000,6.43,-6.51,10.95
24,Jogging,14328951639000,-1.46,6.24,0.89
24,Jogging,14329031656000,8.12,19.57,-4.48
24,Jogging,14329071665000,-2.56,19.57,-4.71
24,Jogging,14329111673000,-6.93,12.22,5.71
24,Jogging,14329151651000,-7.97,5.86,6.36
24,Jogging,14329231516000,-16.02,-14.4,7.31
24,Jogging,14329271646000,-4.94,-4.14,-2.18
24,Jogging,14329313761000,4.67,1.95,-6.17
24,Jogging,14329354563000,8.69,9.3,-3.11
24,Jogging,14329431467000,-3.57,19.38,-1.99
24,Jogging,14329471628000,-0.19,18.89,-2.22
24,Jogging,14329511667000,1.46,19.38,-2.45
24,Jogging,14329551523000,3.36,11.96,0.99
24,Jogging,14329631662000,11.11,1.31,-3.06
24,Jogging,14329671671000,14.82,-5.67,6.24
24,Jogging,14329711496000,-1.23,2.87,6.21
24,Jogging,14329751657000,1.69,12.72,-1.27
24,Jogging,14329791818000,4.29,19.57,-3.21
24,Jogging,14329881571000,-6.28,15.6,-2.79
24,Jogging,14329921640000,-10.61,3.06,9.85
24,Jogging,14329961618000,-9.77,-0.04,1.65
24,Jogging,14330001566000,-16.02,-10.99,11.92
24,Jogging,14330041574000,-5.67,-4.1,-3.79
24,Jogging,14330121622000,7.31,5.98,-1.57
24,Jogging,14330161539000,3.21,18.39,0.5
24,Jogging,14330201578000,-9.04,19.57,2.26
24,Jogging,14330241647000,-0.19,19.53,-7.78
24,Jogging,14330324777000,5.01,11.65,-2.45
24,Jogging,14330362009000,8.66,2.6,5.6
24,Jogging,14330401499000,14.29,2.6,2.49
24,Jogging,14330481546000,4.21,-1.12,1.8
24,Jogging,14330521646000,-1.31,5.09,0.0
24,Jogging,14330561624000,1.53,14.67,-2.56
24,Jogging,14330601663000,2.26,19.57,-4.56
24,Jogging,14330641702000,-2.83,19.57,-7.5
24,Jogging,14330721628000,-10.23,4.02,11.03
24,Jogging,14330761667000,-6.97,1.76,0.53
24,Jogging,14330801553000,-13.44,-12.64,10.23
24,Jogging,14330841684000,-5.75,-2.96,-4.56
24,Jogging,14330931680000,7.31,13.29,-0.61
24,Jogging,14330971658000,-3.02,19.57,3.34
24,Jogging,14331012522000,-3.72,17.24,-1.76
24,Jogging,14331052255000,0.72,17.69,-2.22
24,Jogging,14331091684000,2.98,17.82,-4.44
24,Jogging,14331171610000,7.55,6.32,2.45
24,Jogging,14331211588000,11.8,2.37,1.18
24,Jogging,14331251627000,15.75,-4.75,5.79
24,Jogging,14331291574000,0.72,14.52,-2.3
24,Jogging,14331371652000,3.87,19.57,-5.05
24,Jogging,14331411539000,-0.34,19.57,-4.6
24,Jogging,14331451578000,-6.55,16.32,-2.22
24,Jogging,14331492258000,-10.34,3.95,6.7
24,Jogging,14331571665000,-16.44,-10.04,10.72
24,Jogging,14331611551000,-4.02,-3.79,-2.87
24,Jogging,14331651651000,4.52,5.13,-7.67
24,Jogging,14331692270000,8.88,8.77,-2.79
24,Jogging,14331771524000,-5.86,19.5,-0.8
24,Jogging,14331811655000,0.65,18.16,-2.03
24,Jogging,14331851541000,0.91,19.57,-3.83
24,Jogging,14331931650000,5.67,6.44,9.85
24,Jogging,14331971506000,6.66,3.68,-2.11
24,Jogging,14332011575000,16.36,-4.94,-1.76
24,Jogging,14332051645000,4.99,-4.02,8.47
24,Jogging,14332131632000,4.63,18.73,-0.69
24,Jogging,14332173227000,7.82,19.57,-6.7
24,Jogging,14332211557000,-4.94,19.53,-4.29
24,Jogging,14332251657000,-9.28,10.65,9.15
24,Jogging,14332333597000,-11.3,-8.54,-0.95
24,Jogging,14332371683000,-16.66,-13.4,8.2
24,Jogging,14332411630000,0.72,-0.3,-5.01
24,Jogging,14332451578000,6.32,5.18,-5.67
24,Jogging,14332531534000,-0.46,19.57,1.88
24,Jogging,14332571512000,-3.99,18.24,-0.93
24,Jogging,14332611643000,0.5,18.66,-0.27
24,Jogging,14332651499000,1.88,18.05,-3.91
24,Jogging,14332731607000,10.92,5.05,1.33
24,Jogging,14332771646000,15.79,0.31,3.87
24,Jogging,14332811624000,11.54,-4.14,7.44
24,Jogging,14332851602000,-2.91,4.37,1.38
24,Jogging,14332891672000,0.99,17.35,-2.11
24,Jogging,14332971597000,-0.57,19.57,-4.25
24,Jogging,14333011484000,-4.56,14.67,-0.95
24,Jogging,14333051645000,-9.08,3.38,6.66
24,Jogging,14333131510000,-18.92,-10.23,5.41
24,Jogging,14333171518000,-5.56,-0.65,5.2
24,Jogging,14333211405000,3.83,3.17,-3.76
24,Jogging,14333251627000,4.82,6.4,-1.69
24,Jogging,14333371286000,1.12,18.05,-1.69
24,Jogging,14333371286000,1.12,18.05,-1.69
24,Jogging,14333411539000,0.57,18.5,-0.84
24,Jogging,14333451639000,1.23,11.56,1.76
24,Jogging,14333531595000,10.8,5.09,1.31
24,Jogging,14333571604000,15.01,-3.68,2.98
24,Jogging,14333611643000,3.45,-5.18,7.08
24,Jogging,14333651590000,1.57,9.08,-0.38
24,Jogging,14333691690000,5.2,19.34,-3.11
24,Jogging,14333771646000,-4.6,19.23,-2.72
24,Jogging,14333811533000,-8.47,8.24,9.85
24,Jogging,14333851633000,-7.74,5.48,0.76
24,Jogging,14333931497000,-15.36,-16.36,11.41
24,Jogging,14333971628000,-1.92,-0.65,-4.63
24,Jogging,14334011606000,4.21,5.86,-5.86
24,Jogging,14334051523000,7.97,15.64,-3.45
24,Jogging,14334131632000,-0.38,16.55,-1.88
24,Jogging,14334171488000,0.8,17.2,-2.11
24,Jogging,14334211527000,0.19,17.77,0.69
24,Jogging,14334251596000,3.98,8.81,7.55
24,Jogging,14334291544000,6.97,1.88,2.03
24,Jogging,14334371561000,13.48,-6.05,2.64
24,Jogging,14334411508000,3.95,1.27,4.1
24,Jogging,14334451639000,-1.14,17.67,-0.57
24,Jogging,14334491495000,2.75,19.57,-4.1
24,Jogging,14334571604000,-6.47,15.13,-0.93
24,Jogging,14334611521000,-7.7,5.52,8.88
24,Jogging,14334651590000,-7.44,1.27,3.87
24,Jogging,14334691629000,-8.85,-15.21,8.12
24,Jogging,14334771646000,7.12,4.37,-10.61
24,Jogging,14334811502000,7.93,10.53,-2.79
24,Jogging,14334851511000,-1.95,16.32,1.69
24,Jogging,14334931467000,-2.45,15.02,-1.65
24,Jogging,14334971628000,-2.83,16.17,-2.37
24,Jogging,14335011575000,-1.69,17.27,-1.73
24,Jogging,14335051615000,3.53,13.72,7.35
24,Jogging,14335131632000,11.73,0.57,-1.23
24,Jogging,14335171640000,16.21,-7.21,8.12
24,Jogging,14335211557000,-2.53,0.23,5.6
24,Jogging,14335251627000,3.41,15.09,-1.42
24,Jogging,14335291635000,-0.27,19.57,2.07
24,Jogging,14335371439000,-7.78,17.54,-1.8
24,Jogging,14335411600000,-11.8,5.43,9.53
24,Jogging,14335451639000,-10.46,-1.5,0.19
24,Jogging,14335531473000,-7.63,-7.86,5.43
24,Jogging,14335571604000,1.18,3.02,-5.13
24,Jogging,14335611643000,4.79,7.4,-5.9
24,Jogging,14335651621000,4.52,16.63,-1.04
24,Jogging,14335691690000,-4.71,19.57,1.92
24,Jogging,14335771646000,-1.99,16.21,-1.27
24,Jogging,14335811624000,-1.84,16.02,-0.8
24,Jogging,14335851633000,3.68,7.25,11.41
24,Jogging,14335931589000,12.03,0.27,0.42
24,Jogging,14335971628000,9.72,-4.21,10.08
24,Jogging,14336011423000,-0.99,3.6,0.84
24,Jogging,14336051615000,-0.61,17.67,-1.88
24,Jogging,14336131510000,-6.55,19.42,-2.56
24,Jogging,14336171518000,-7.63,7.97,10.61
24,Jogging,14336211557000,-6.17,6.82,4.99
24,Jogging,14336251505000,-3.45,0.15,1.23
24,Jogging,14336291391000,-6.21,-17.67,7.7
24,Jogging,14336371347000,6.74,8.77,-5.18
24,Jogging,14336411478000,-0.84,14.67,2.11
24,Jogging,14336451517000,-6.89,19.53,-0.53
24,Jogging,14336491525000,-9.19,18.58,4.94
24,Jogging,14336571604000,-7.31,19.08,-2.49
24,Jogging,14336611490000,-0.15,11.92,2.07
24,Jogging,14336651621000,4.33,6.09,3.02
24,Jogging,14336731516000,17.69,1.23,3.57
24,Jogging,14336771524000,5.6,-3.06,4.75
24,Jogging,14336811594000,-0.5,7.7,-1.88
24,Jogging,14336851633000,-2.72,19.08,-0.34
24,Jogging,14336931589000,-16.74,17.31,0.76
24,Jogging,14336971628000,-8.54,2.34,9.58
24,Jogging,14337011575000,-11.41,-0.19,7.4
24,Jogging,14337051645000,-7.46,-7.27,-0.5
24,Jogging,14337131601000,0.8,-1.53,-9.72
24,Jogging,14337171488000,8.62,9.0,-13.72
24,Jogging,14337211527000,1.31,17.58,-1.38
24,Jogging,14337251627000,-11.8,19.31,3.53
24,Jogging,14337291544000,-13.53,19.31,-1.73
24,Jogging,14337371439000,-7.67,18.73,-4.52
24,Jogging,14337411630000,-1.84,14.82,-4.82
24,Jogging,14337451517000,8.35,6.74,6.09
24,Jogging,14337531534000,15.43,1.42,2.6
24,Jogging,14337571634000,3.87,0.69,2.03
24,Jogging,14337611612000,-1.84,8.5,-2.07
24,Jogging,14337651560000,-10.53,19.04,0.11
24,Jogging,14337691538000,-19.46,15.85,1.08
24,Jogging,14337771646000,-11.26,0.5,10.8
24,Jogging,14337811533000,-11.73,-1.61,4.59
24,Jogging,14337851633000,-5.43,-11.75,7.93
24,Jogging,14337931467000,-0.23,4.94,-12.57
24,Jogging,14337971597000,7.7,15.75,-9.11
24,Jogging,14338011453000,-4.25,13.53,3.57
24,Jogging,14338056497000,-13.59,19.46,5.33
24,Jogging,14338131906000,-11.54,18.28,-0.08
24,Jogging,14338171610000,-6.21,18.7,-5.63
24,Jogging,14338211557000,0.5,8.77,1.99
24,Jogging,14338251596000,3.41,7.06,7.35
24,Jogging,14338291666000,15.62,5.33,2.22
24,Jogging,14338371469000,3.64,0.72,1.33
24,Jogging,14338412485000,-5.37,12.49,-0.04
24,Jogging,14338451914000,-13.87,19.57,4.86
24,Jogging,14338531473000,-12.98,10.88,1.5
24,Jogging,14338571634000,-9.62,-2.96,8.43
24,Jogging,14338611521000,-9.23,-8.24,3.02
24,Jogging,14338651590000,-7.31,-18.28,6.36
24,Jogging,14338731546000,2.56,5.01,-7.55
24,Jogging,14338771524000,2.14,8.05,-4.21
24,Jogging,14338811502000,-11.73,17.69,4.18
24,Jogging,14338851541000,-17.01,18.09,4.25
24,Jogging,14338931619000,-10.88,15.21,-0.95
24,Jogging,14338971506000,-8.66,12.11,2.03
24,Jogging,14339011575000,2.49,7.35,7.16
24,Jogging,14339051645000,6.32,7.93,-2.45
24,Jogging,14339131601000,6.7,-1.61,3.21
24,Jogging,14339171610000,-1.14,4.79,-0.34
24,Jogging,14339211527000,-6.02,16.32,1.08
24,Jogging,14339251505000,-18.39,19.57,-1.84
24,Jogging,14339291666000,-12.07,6.44,3.57
24,Jogging,14339371683000,-11.35,0.31,6.97
24,Jogging,14339411600000,-7.44,-6.7,8.62
24,Jogging,14339451639000,2.6,-10.34,10.23
24,Jogging,14339531503000,8.43,11.96,-9.43
24,Jogging,14339571634000,-2.98,11.88,3.15
24,Jogging,14339611643000,-11.8,15.85,1.92
24,Jogging,14339651621000,-18.16,18.73,6.09
24,Jogging,14339691660000,-12.26,15.09,-0.23
24,Jogging,14339771677000,-7.01,13.8,-0.99
24,Jogging,14339811624000,1.42,7.89,9.11
24,Jogging,14339851633000,2.45,7.46,1.76
24,Jogging,14339891550000,11.3,3.64,1.95
24,Jogging,14339971597000,-1.61,5.56,0.46
24,Jogging,14340014780000,-16.32,18.62,4.14
24,Jogging,14340056436000,-19.57,19.53,0.0
24,Jogging,14340095499000,-17.69,10.84,-1.46
24,Jogging,14340171945000,-8.28,-2.37,5.98
24,Jogging,14340211435000,-1.23,-10.15,9.38
24,Jogging,14340251627000,3.15,-10.46,2.6
24,Jogging,14340331613000,3.11,14.56,-8.01
24,Jogging,14340372598000,-8.05,9.19,6.05
24,Jogging,14340411600000,-17.67,16.47,8.05
24,Jogging,14340451608000,-17.16,11.56,2.6
24,Jogging,14340531626000,-17.47,13.53,-5.43
24,Jogging,14340571634000,-4.25,10.46,1.42
24,Jogging,14340611490000,0.84,12.3,6.47
24,Jogging,14340651590000,9.58,6.82,-1.33
24,Jogging,14340771463000,-5.71,6.82,-1.33
24,Jogging,14340771463000,-5.71,6.82,-1.33
24,Jogging,14340811624000,-18.54,18.89,2.3
24,Jogging,14340851602000,-19.57,19.19,-1.12
24,Jogging,14340891580000,-10.73,-1.5,8.2
24,Jogging,14340971628000,-9.77,-6.09,5.98
24,Jogging,14341011453000,2.87,-11.3,10.53
24,Jogging,14341051615000,5.33,-10.15,3.17
24,Jogging,14341131601000,-0.38,15.98,-6.51
24,Jogging,14341171518000,-15.36,11.8,6.05
24,Jogging,14341211588000,-19.53,11.22,7.44
24,Jogging,14341251627000,-14.79,3.57,0.34
24,Jogging,14341331613000,-18.58,9.66,-3.6
24,Jogging,14341371591000,-9.19,10.57,-1.33
24,Jogging,14341411569000,-3.11,14.56,8.24
24,Jogging,14341451517000,3.6,13.87,-3.26
24,Jogging,14341531473000,1.33,2.49,3.6
24,Jogging,14341531473000,1.33,2.49,3.6
24,Jogging,14341591501000,-17.16,15.09,1.61
24,Jogging,14341671488000,-19.34,11.56,-1.99
24,Jogging,14341711496000,-11.14,1.61,5.48
24,Jogging,14341751627000,-9.77,-3.72,6.93
24,Jogging,14341791544000,-3.17,-15.79,8.88
24,Jogging,14341871622000,3.91,-2.56,-7.06
24,Jogging,14341911478000,-4.02,15.43,-13.57
24,Jogging,14341951517000,-8.73,9.53,4.1
24,Jogging,14341991617000,-17.92,5.6,4.82
24,Jogging,14342071634000,-15.09,3.6,-2.96
24,Jogging,14342111521000,-19.53,9.04,-7.12
24,Jogging,14342151621000,-13.25,9.04,-1.99
24,Jogging,14342231424000,2.72,14.67,-3.45
24,Jogging,14342271646000,13.72,15.66,2.53
24,Jogging,14342311533000,1.18,3.87,5.05
24,Jogging,14342351633000,-8.43,4.82,-0.15
24,Jogging,14342391550000,-19.08,16.09,1.53
24,Jogging,14342471597000,-17.24,5.71,-2.96
24,Jogging,14342511606000,-8.58,-2.03,7.44
24,Jogging,14342551523000,-8.08,-6.47,5.18
24,Jogging,14342631479000,12.95,-12.87,13.48
24,Jogging,14342671640000,2.41,-0.15,-14.52
24,Jogging,14342711588000,-4.79,13.06,-8.24
24,Jogging,14342751474000,-10.92,6.78,2.56
24,Jogging,14342791544000,-18.62,4.56,1.84
24,Jogging,14342871591000,-12.79,-2.72,0.8
24,Jogging,14342911508000,-19.23,0.65,-4.56
24,Jogging,14342951669000,-16.09,5.79,-1.69
24,Jogging,14342991617000,-2.83,16.44,-3.17
24,Jogging,14343071512000,10.92,16.28,1.88
24,Jogging,14343111521000,4.14,3.6,3.76
24,Jogging,14343151621000,-11.07,6.17,-0.57
24,Jogging,14343231516000,-19.57,9.43,-0.42
24,Jogging,14343271677000,-17.67,1.38,-2.87
24,Jogging,14343311502000,-9.34,-1.46,5.43
24,Jogging,14343351602000,-9.43,-6.21,2.26
24,Jogging,14343392923000,0.23,-14.06,16.36
24,Jogging,14343471506000,-0.31,3.3,-13.38
24,Jogging,14343511514000,-4.9,16.78,-6.47
24,Jogging,14343551523000,-10.65,6.24,2.18
24,Jogging,14343591532000,-19.53,-2.07,6.74
24,Jogging,14343671640000,-16.78,-3.95,-1.46
24,Jogging,14343711588000,-19.53,-2.53,-4.79
24,Jogging,14343751444000,-14.06,4.48,-1.99
24,Jogging,14343831644000,-5.48,11.35,-1.95
24,Jogging,14343871561000,6.82,17.31,-1.54
24,Jogging,14343911630000,6.59,7.82,1.31
24,Jogging,14343951608000,-7.89,4.1,0.69
24,Jogging,14344031595000,-19.57,11.22,-1.65
24,Jogging,14344071604000,-18.96,2.3,-1.27
24,Jogging,14344111612000,-10.27,-4.14,7.5
24,Jogging,14344151499000,-8.85,-7.35,3.76
24,Jogging,14344191629000,15.21,-13.82,12.41
24,Jogging,14344271524000,4.02,-1.08,-5.41
24,Jogging,14344311502000,-9.43,14.06,-11.45
24,Jogging,14344351633000,-12.64,9.08,4.44
24,Jogging,14344391672000,-18.62,0.69,1.31
24,Jogging,14344471628000,-18.39,-3.68,-1.69
24,Jogging,14344511514000,-19.57,-1.27,-10.04
24,Jogging,14344551676000,-15.94,5.52,-3.53
24,Jogging,14344631510000,-6.24,15.55,-4.56
24,Jogging,14344671640000,4.9,18.43,0.57
24,Jogging,14344711496000,3.41,6.4,2.6
24,Jogging,14344751627000,-5.13,0.8,0.76
24,Jogging,14344791666000,-19.57,3.76,1.08
24,Jogging,14344871469000,-19.19,-3.26,-3.95
24,Jogging,14344911600000,-10.95,-5.6,0.84
24,Jogging,14344951517000,-3.6,-10.61,5.13
24,Jogging,14345031778000,11.03,-7.4,7.01
24,Jogging,14345071481000,-0.08,2.03,-7.89
24,Jogging,14345111643000,-10.8,12.87,-6.78
24,Jogging,14345151590000,-14.52,7.35,0.34
24,Jogging,14345231607000,-15.98,-8.31,5.43
24,Jogging,14345271555000,-17.01,-5.71,-3.83
24,Jogging,14345311624000,-19.57,-1.95,-4.99
24,Jogging,14345351602000,-16.82,2.56,-4.37
24,Jogging,14345431558000,-8.31,12.18,-0.27
24,Jogging,14345471597000,1.46,17.86,-1.27
24,Jogging,14345511514000,5.43,16.32,3.98
24,Jogging,14345551492000,-8.66,1.92,2.96
24,Jogging,14345591654000,-19.57,1.33,-0.53
24,Jogging,14345671488000,-19.57,-4.25,-8.08
24,Jogging,14345711618000,-9.53,-3.68,2.11
24,Jogging,14345751596000,-2.53,-8.39,10.57
24,Jogging,14345791666000,0.38,-7.46,5.43
24,Jogging,14345872385000,7.82,-3.98,-4.21
24,Jogging,14345911508000,-6.24,5.48,-7.21
24,Jogging,14345951517000,-15.6,10.57,-2.83
24,Jogging,14345991495000,-17.67,0.69,4.82
24,Jogging,14346063181000,-19.53,-9.53,3.41
24,Jogging,14346101511000,-19.57,-8.2,-2.76
24,Jogging,14346141550000,-19.34,4.86,2.26
24,Jogging,14346221597000,-9.66,10.92,7.74
24,Jogging,14346261606000,-8.24,10.53,-2.6
24,Jogging,14346301553000,2.68,14.63,-1.92
24,Jogging,14346341532000,-8.96,1.99,0.42
24,Jogging,14346421610000,-18.54,0.31,0.53
24,Jogging,14346461618000,-19.57,-5.01,-1.5
24,Jogging,14346501505000,-19.46,-11.5,-6.17
24,Jogging,14346581552000,0.04,-5.28,10.08
24,Jogging,14346621500000,2.37,-4.4,5.82
24,Jogging,14346661508000,8.12,-2.64,7.44
24,Jogging,14346701486000,0.27,-0.5,-5.98
24,Jogging,14346781564000,-5.79,4.37,1.73
24,Jogging,14346821634000,-18.16,-3.49,1.04
24,Jogging,14346861612000,-19.19,-8.5,4.06
24,Jogging,14346901468000,-17.16,-10.04,-1.12
24,Jogging,14346941660000,-19.57,0.5,-2.98
24,Jogging,14347021616000,-12.34,12.18,12.07
24,Jogging,14347061655000,-5.75,9.85,-3.83
24,Jogging,14347101511000,3.72,13.95,0.46
24,Jogging,14347181680000,-6.28,1.69,1.53
24,Jogging,14347221689000,-16.04,0.89,-1.12
24,Jogging,14347261636000,-19.57,-6.51,1.31
24,Jogging,14347301645000,-19.15,-11.84,-8.05
24,Jogging,14347381510000,-4.37,-7.01,6.36
24,Jogging,14347421549000,-0.04,-6.24,5.48
24,Jogging,14347461496000,11.84,-4.44,6.05
24,Jogging,14347501596000,7.21,-2.53,-4.33
24,Jogging,14347581613000,-10.5,4.79,1.88
